OBCINA_TIP;Leto;Stevilo.gradbenih.dovoljenj
Bloke_Nestanovanjske stavbe;2015;0
Bloke_Nestanovanjske stavbe;2016;6
Bloke_Nestanovanjske stavbe;2017;12
Bloke_Nestanovanjske stavbe;2018;3
Bloke_Nestanovanjske stavbe;2019;9
Bloke_Nestanovanjske stavbe;2020;0
Bohinj_Stanovanjske stavbe;2007;13
Bohinj_Stanovanjske stavbe;2008;6
Bohinj_Stanovanjske stavbe;2009;7
Bohinj_Stanovanjske stavbe;2010;12
Bohinj_Stanovanjske stavbe;2011;10
Bohinj_Stanovanjske stavbe;2012;5
Bohinj_Stanovanjske stavbe;2013;9
Bohinj_Stanovanjske stavbe;2014;5
Bohinj_Stanovanjske stavbe;2015;9
Bohinj_Stanovanjske stavbe;2016;7
Bohinj_Stanovanjske stavbe;2017;11
Bohinj_Stanovanjske stavbe;2018;15
Bohinj_Stanovanjske stavbe;2019;4
Bohinj_Stanovanjske stavbe;2020;9
Bohinj_Nestanovanjske stavbe;2007;3
Bohinj_Nestanovanjske stavbe;2008;12
Bohinj_Nestanovanjske stavbe;2009;2
Bohinj_Nestanovanjske stavbe;2010;4
Bohinj_Nestanovanjske stavbe;2011;6
Bohinj_Nestanovanjske stavbe;2012;6
Bohinj_Nestanovanjske stavbe;2013;3
Bohinj_Nestanovanjske stavbe;2014;1
Bohinj_Nestanovanjske stavbe;2015;6
Bohinj_Nestanovanjske stavbe;2016;11
Bohinj_Nestanovanjske stavbe;2017;17
Bohinj_Nestanovanjske stavbe;2018;20
Bohinj_Nestanovanjske stavbe;2019;12
Bohinj_Nestanovanjske stavbe;2020;5
Borovnica_Stanovanjske stavbe;2007;9
Borovnica_Stanovanjske stavbe;2008;10
Borovnica_Stanovanjske stavbe;2009;22
Borovnica_Stanovanjske stavbe;2010;3
Borovnica_Stanovanjske stavbe;2011;11
Borovnica_Stanovanjske stavbe;2012;7
Borovnica_Stanovanjske stavbe;2013;7
Borovnica_Stanovanjske stavbe;2014;6
Borovnica_Stanovanjske stavbe;2015;2
Borovnica_Stanovanjske stavbe;2016;6
Borovnica_Stanovanjske stavbe;2017;6
Borovnica_Stanovanjske stavbe;2018;0
Borovnica_Stanovanjske stavbe;2019;2
Borovnica_Stanovanjske stavbe;2020;5
Borovnica_Nestanovanjske stavbe;2007;1
Borovnica_Nestanovanjske stavbe;2008;1
Borovnica_Nestanovanjske stavbe;2009;1
Borovnica_Nestanovanjske stavbe;2010;0
Borovnica_Nestanovanjske stavbe;2011;0
Borovnica_Nestanovanjske stavbe;2012;0
Borovnica_Nestanovanjske stavbe;2013;2
Borovnica_Nestanovanjske stavbe;2014;1
Borovnica_Nestanovanjske stavbe;2015;0
Borovnica_Nestanovanjske stavbe;2016;4
Borovnica_Nestanovanjske stavbe;2017;1
Borovnica_Nestanovanjske stavbe;2018;0
Borovnica_Nestanovanjske stavbe;2019;3
Borovnica_Nestanovanjske stavbe;2020;3
Bovec_Stanovanjske stavbe;2007;11
Bovec_Stanovanjske stavbe;2008;8
Bovec_Stanovanjske stavbe;2009;8
Bovec_Stanovanjske stavbe;2010;8
Bovec_Stanovanjske stavbe;2011;4
Bovec_Stanovanjske stavbe;2012;4
Bovec_Stanovanjske stavbe;2013;11
Bovec_Stanovanjske stavbe;2014;2
Bovec_Stanovanjske stavbe;2015;6
Bovec_Stanovanjske stavbe;2016;4
Bovec_Stanovanjske stavbe;2017;3
Bovec_Stanovanjske stavbe;2018;5
Bovec_Stanovanjske stavbe;2019;4
Bovec_Stanovanjske stavbe;2020;7
Bovec_Nestanovanjske stavbe;2007;9
Bovec_Nestanovanjske stavbe;2008;2
Bovec_Nestanovanjske stavbe;2009;8
Bovec_Nestanovanjske stavbe;2010;2
Bovec_Nestanovanjske stavbe;2011;7
Bovec_Nestanovanjske stavbe;2012;4
Bovec_Nestanovanjske stavbe;2013;1
Bovec_Nestanovanjske stavbe;2014;8
Bovec_Nestanovanjske stavbe;2015;14
Bovec_Nestanovanjske stavbe;2016;12
Bovec_Nestanovanjske stavbe;2017;6
Bovec_Nestanovanjske stavbe;2018;4
Bovec_Nestanovanjske stavbe;2019;7
Bovec_Nestanovanjske stavbe;2020;10
Braslovce_Stanovanjske stavbe;2007;24
Braslovce_Stanovanjske stavbe;2008;13
Braslovce_Stanovanjske stavbe;2009;15
Braslovce_Stanovanjske stavbe;2010;18
Braslovce_Stanovanjske stavbe;2011;19
Braslovce_Stanovanjske stavbe;2012;12
Braslovce_Stanovanjske stavbe;2013;14
Braslovce_Stanovanjske stavbe;2014;5
Braslovce_Stanovanjske stavbe;2015;16
Braslovce_Stanovanjske stavbe;2016;18
Braslovce_Stanovanjske stavbe;2017;19
Braslovce_Stanovanjske stavbe;2018;22
Braslovce_Stanovanjske stavbe;2019;10
Braslovce_Stanovanjske stavbe;2020;17
Braslovce_Nestanovanjske stavbe;2007;2
Braslovce_Nestanovanjske stavbe;2008;0
Braslovce_Nestanovanjske stavbe;2009;2
Braslovce_Nestanovanjske stavbe;2010;2
Braslovce_Nestanovanjske stavbe;2011;4
Braslovce_Nestanovanjske stavbe;2012;0
Braslovce_Nestanovanjske stavbe;2013;8
Braslovce_Nestanovanjske stavbe;2014;2
Braslovce_Nestanovanjske stavbe;2015;4
Braslovce_Nestanovanjske stavbe;2016;3
Braslovce_Nestanovanjske stavbe;2017;5
Braslovce_Nestanovanjske stavbe;2018;4
Braslovce_Nestanovanjske stavbe;2019;20
Braslovce_Nestanovanjske stavbe;2020;18
Brda_Stanovanjske stavbe;2007;23
Brda_Stanovanjske stavbe;2008;16
Brda_Stanovanjske stavbe;2009;12
Brda_Stanovanjske stavbe;2010;10
Brda_Stanovanjske stavbe;2011;7
Brda_Stanovanjske stavbe;2012;13
Brda_Stanovanjske stavbe;2013;10
Brda_Stanovanjske stavbe;2014;7
Brda_Stanovanjske stavbe;2015;10
Brda_Stanovanjske stavbe;2016;10
Brda_Stanovanjske stavbe;2017;11
Brda_Stanovanjske stavbe;2018;22
Brda_Stanovanjske stavbe;2019;8
Brda_Stanovanjske stavbe;2020;8
Brda_Nestanovanjske stavbe;2007;9
Brda_Nestanovanjske stavbe;2008;11
Brda_Nestanovanjske stavbe;2009;8
Brda_Nestanovanjske stavbe;2010;10
Brda_Nestanovanjske stavbe;2011;9
Brda_Nestanovanjske stavbe;2012;7
Brda_Nestanovanjske stavbe;2013;4
Brda_Nestanovanjske stavbe;2014;3
Brda_Nestanovanjske stavbe;2015;15
Brda_Nestanovanjske stavbe;2016;10
Brda_Nestanovanjske stavbe;2017;9
Brda_Nestanovanjske stavbe;2018;20
Brda_Nestanovanjske stavbe;2019;21
Brda_Nestanovanjske stavbe;2020;3
Brezovica_Stanovanjske stavbe;2007;36
Brezovica_Stanovanjske stavbe;2008;31
Brezovica_Stanovanjske stavbe;2009;31
Brezovica_Stanovanjske stavbe;2010;22
Brezovica_Stanovanjske stavbe;2011;8
Brezovica_Stanovanjske stavbe;2012;26
Brezovica_Stanovanjske stavbe;2013;20
Brezovica_Stanovanjske stavbe;2014;9
Brezovica_Stanovanjske stavbe;2015;10
Brezovica_Stanovanjske stavbe;2016;29
Brezovica_Stanovanjske stavbe;2017;29
Brezovica_Stanovanjske stavbe;2018;23
Brezovica_Stanovanjske stavbe;2019;12
Brezovica_Stanovanjske stavbe;2020;14
Brezovica_Nestanovanjske stavbe;2007;4
Brezovica_Nestanovanjske stavbe;2008;4
Brezovica_Nestanovanjske stavbe;2009;5
Brezovica_Nestanovanjske stavbe;2010;0
Brezovica_Nestanovanjske stavbe;2011;1
Brezovica_Nestanovanjske stavbe;2012;3
Brezovica_Nestanovanjske stavbe;2013;0
Brezovica_Nestanovanjske stavbe;2014;3
Brezovica_Nestanovanjske stavbe;2015;2
Brezovica_Nestanovanjske stavbe;2016;5
Brezovica_Nestanovanjske stavbe;2017;5
Brezovica_Nestanovanjske stavbe;2018;8
Brezovica_Nestanovanjske stavbe;2019;5
Brezovica_Nestanovanjske stavbe;2020;2
Brezice_Stanovanjske stavbe;2007;51
Brezice_Stanovanjske stavbe;2008;60
Brezice_Stanovanjske stavbe;2009;74
Brezice_Stanovanjske stavbe;2010;50
Brezice_Stanovanjske stavbe;2011;18
Brezice_Stanovanjske stavbe;2012;28
Brezice_Stanovanjske stavbe;2013;23
Brezice_Stanovanjske stavbe;2014;34
Brezice_Stanovanjske stavbe;2015;24
Brezice_Stanovanjske stavbe;2016;43
Brezice_Stanovanjske stavbe;2017;39
Brezice_Stanovanjske stavbe;2018;35
Brezice_Stanovanjske stavbe;2019;38
Brezice_Stanovanjske stavbe;2020;48
Brezice_Nestanovanjske stavbe;2007;33
Brezice_Nestanovanjske stavbe;2008;42
Brezice_Nestanovanjske stavbe;2009;35
Brezice_Nestanovanjske stavbe;2010;32
Brezice_Nestanovanjske stavbe;2011;26
Brezice_Nestanovanjske stavbe;2012;16
Brezice_Nestanovanjske stavbe;2013;16
Brezice_Nestanovanjske stavbe;2014;19
Brezice_Nestanovanjske stavbe;2015;77
Brezice_Nestanovanjske stavbe;2016;142
Brezice_Nestanovanjske stavbe;2017;102
Brezice_Nestanovanjske stavbe;2018;58
Brezice_Nestanovanjske stavbe;2019;109
Brezice_Nestanovanjske stavbe;2020;85
Cankova_Stanovanjske stavbe;2007;3
Cankova_Stanovanjske stavbe;2008;2
Cankova_Stanovanjske stavbe;2009;5
Cankova_Stanovanjske stavbe;2010;4
Cankova_Stanovanjske stavbe;2011;0
Cankova_Stanovanjske stavbe;2012;3
Cankova_Stanovanjske stavbe;2013;3
Cankova_Stanovanjske stavbe;2014;1
Cankova_Stanovanjske stavbe;2015;1
Cankova_Stanovanjske stavbe;2016;2
Cankova_Stanovanjske stavbe;2017;6
Cankova_Stanovanjske stavbe;2018;2
Cankova_Stanovanjske stavbe;2019;1
Cankova_Stanovanjske stavbe;2020;4
Cankova_Nestanovanjske stavbe;2007;3
Cankova_Nestanovanjske stavbe;2008;1
Cankova_Nestanovanjske stavbe;2009;4
Cankova_Nestanovanjske stavbe;2010;1
Cankova_Nestanovanjske stavbe;2011;2
Cankova_Nestanovanjske stavbe;2012;1
Cankova_Nestanovanjske stavbe;2013;3
Cankova_Nestanovanjske stavbe;2014;1
Cankova_Nestanovanjske stavbe;2015;3
Cankova_Nestanovanjske stavbe;2016;7
Cankova_Nestanovanjske stavbe;2017;8
Cankova_Nestanovanjske stavbe;2018;9
Cankova_Nestanovanjske stavbe;2019;9
Cankova_Nestanovanjske stavbe;2020;12
Celje_Stanovanjske stavbe;2007;59
Celje_Stanovanjske stavbe;2008;58
Celje_Stanovanjske stavbe;2009;27
Celje_Stanovanjske stavbe;2010;21
Celje_Stanovanjske stavbe;2011;18
Celje_Stanovanjske stavbe;2012;13
Celje_Stanovanjske stavbe;2013;22
Celje_Stanovanjske stavbe;2014;13
Celje_Stanovanjske stavbe;2015;17
Celje_Stanovanjske stavbe;2016;19
Celje_Stanovanjske stavbe;2017;18
Celje_Stanovanjske stavbe;2018;31
Celje_Stanovanjske stavbe;2019;24
Celje_Stanovanjske stavbe;2020;30
Celje_Nestanovanjske stavbe;2007;21
Celje_Nestanovanjske stavbe;2008;15
Celje_Nestanovanjske stavbe;2009;3
Celje_Nestanovanjske stavbe;2010;1
Celje_Nestanovanjske stavbe;2011;0
Celje_Nestanovanjske stavbe;2012;0
Celje_Nestanovanjske stavbe;2013;2
Celje_Nestanovanjske stavbe;2014;0
Celje_Nestanovanjske stavbe;2015;2
Celje_Nestanovanjske stavbe;2016;29
Celje_Nestanovanjske stavbe;2017;28
Celje_Nestanovanjske stavbe;2018;59
Celje_Nestanovanjske stavbe;2019;56
Celje_Nestanovanjske stavbe;2020;40
Cerklje na Gorenjskem_Stanovanjske stavbe;2007;25
Cerklje na Gorenjskem_Stanovanjske stavbe;2008;32
Cerklje na Gorenjskem_Stanovanjske stavbe;2009;25
