OBCINE;TIP.STAVBE;Leto;Stevilo.gradbenih.dovoljenj
Braslovce;Stanovanjske stavbe;2011;19
Braslovce;Stanovanjske stavbe;2012;12
Braslovce;Stanovanjske stavbe;2013;14
Braslovce;Stanovanjske stavbe;2014;5
Braslovce;Stanovanjske stavbe;2015;16
Braslovce;Stanovanjske stavbe;2016;18
Braslovce;Stanovanjske stavbe;2017;19
Braslovce;Stanovanjske stavbe;2018;22
Braslovce;Stanovanjske stavbe;2019;10
Braslovce;Stanovanjske stavbe;2020;17
Braslovce;Nestanovanjske stavbe;2007;2
Braslovce;Nestanovanjske stavbe;2008;0
Braslovce;Nestanovanjske stavbe;2009;2
Braslovce;Nestanovanjske stavbe;2010;2
Braslovce;Nestanovanjske stavbe;2011;4
Braslovce;Nestanovanjske stavbe;2012;0
Braslovce;Nestanovanjske stavbe;2013;8
Braslovce;Nestanovanjske stavbe;2014;2
Braslovce;Nestanovanjske stavbe;2015;4
Braslovce;Nestanovanjske stavbe;2016;3
Braslovce;Nestanovanjske stavbe;2017;5
Braslovce;Nestanovanjske stavbe;2018;4
Braslovce;Nestanovanjske stavbe;2019;20
Braslovce;Nestanovanjske stavbe;2020;18
Brda;Stanovanjske stavbe;2007;23
Brda;Stanovanjske stavbe;2008;16
Brda;Stanovanjske stavbe;2009;12
Brda;Stanovanjske stavbe;2010;10
Brda;Stanovanjske stavbe;2011;7
Brda;Stanovanjske stavbe;2012;13
Brda;Stanovanjske stavbe;2013;10
Brda;Stanovanjske stavbe;2014;7
Brda;Stanovanjske stavbe;2015;10
Brda;Stanovanjske stavbe;2016;10
Brda;Stanovanjske stavbe;2017;11
Brda;Stanovanjske stavbe;2018;22
Brda;Stanovanjske stavbe;2019;8
Brda;Stanovanjske stavbe;2020;8
Brda;Nestanovanjske stavbe;2007;9
Brda;Nestanovanjske stavbe;2008;11
Brda;Nestanovanjske stavbe;2009;8
Brda;Nestanovanjske stavbe;2010;10
Brda;Nestanovanjske stavbe;2011;9
Brda;Nestanovanjske stavbe;2012;7
Brda;Nestanovanjske stavbe;2013;4
Brda;Nestanovanjske stavbe;2014;3
Brda;Nestanovanjske stavbe;2015;15
Brda;Nestanovanjske stavbe;2016;10
Brda;Nestanovanjske stavbe;2017;9
Brda;Nestanovanjske stavbe;2018;20
Brda;Nestanovanjske stavbe;2019;21
Brda;Nestanovanjske stavbe;2020;3
Brezovica;Stanovanjske stavbe;2007;36
Brezovica;Stanovanjske stavbe;2008;31
Brezovica;Stanovanjske stavbe;2009;31
Brezovica;Stanovanjske stavbe;2010;22
Brezovica;Stanovanjske stavbe;2011;8
Brezovica;Stanovanjske stavbe;2012;26
Brezovica;Stanovanjske stavbe;2013;20
Brezovica;Stanovanjske stavbe;2014;9
Brezovica;Stanovanjske stavbe;2015;10
Brezovica;Stanovanjske stavbe;2016;29
Brezovica;Stanovanjske stavbe;2017;29
Brezovica;Stanovanjske stavbe;2018;23
Brezovica;Stanovanjske stavbe;2019;12
Brezovica;Stanovanjske stavbe;2020;14
Brezovica;Nestanovanjske stavbe;2007;4
Brezovica;Nestanovanjske stavbe;2008;4
Brezovica;Nestanovanjske stavbe;2009;5
Brezovica;Nestanovanjske stavbe;2010;0
Brezovica;Nestanovanjske stavbe;2011;1
Brezovica;Nestanovanjske stavbe;2012;3
Brezovica;Nestanovanjske stavbe;2013;0
Brezovica;Nestanovanjske stavbe;2014;3
Brezovica;Nestanovanjske stavbe;2015;2
Brezovica;Nestanovanjske stavbe;2016;5
Brezovica;Nestanovanjske stavbe;2017;5
Brezovica;Nestanovanjske stavbe;2018;8
Brezovica;Nestanovanjske stavbe;2019;5
Brezovica;Nestanovanjske stavbe;2020;2
Brezice;Stanovanjske stavbe;2007;51
Brezice;Stanovanjske stavbe;2008;60
Brezice;Stanovanjske stavbe;2009;74
Brezice;Stanovanjske stavbe;2010;50
Brezice;Stanovanjske stavbe;2011;18
Brezice;Stanovanjske stavbe;2012;28
Brezice;Stanovanjske stavbe;2013;23
Brezice;Stanovanjske stavbe;2014;34
Brezice;Stanovanjske stavbe;2015;24
Brezice;Stanovanjske stavbe;2016;43
Brezice;Stanovanjske stavbe;2017;39
Brezice;Stanovanjske stavbe;2018;35
Brezice;Stanovanjske stavbe;2019;38
Brezice;Stanovanjske stavbe;2020;48
Brezice;Nestanovanjske stavbe;2007;33
Brezice;Nestanovanjske stavbe;2008;42
Brezice;Nestanovanjske stavbe;2009;35
Brezice;Nestanovanjske stavbe;2010;32
Brezice;Nestanovanjske stavbe;2011;26
Brezice;Nestanovanjske stavbe;2012;16
Brezice;Nestanovanjske stavbe;2013;16
Brezice;Nestanovanjske stavbe;2014;19
Brezice;Nestanovanjske stavbe;2015;77
Brezice;Nestanovanjske stavbe;2016;142
Brezice;Nestanovanjske stavbe;2017;102
Brezice;Nestanovanjske stavbe;2018;58
Brezice;Nestanovanjske stavbe;2019;109
Brezice;Nestanovanjske stavbe;2020;85
Cankova;Stanovanjske stavbe;2007;3
Cankova;Stanovanjske stavbe;2008;2
Cankova;Stanovanjske stavbe;2009;5
Cankova;Stanovanjske stavbe;2010;4
Cankova;Stanovanjske stavbe;2011;0
Cankova;Stanovanjske stavbe;2012;3
Cankova;Stanovanjske stavbe;2013;3
Cankova;Stanovanjske stavbe;2014;1
Cankova;Stanovanjske stavbe;2015;1
Cankova;Stanovanjske stavbe;2016;2
Cankova;Stanovanjske stavbe;2017;6
Cankova;Stanovanjske stavbe;2018;2
Cankova;Stanovanjske stavbe;2019;1
Cankova;Stanovanjske stavbe;2020;4
Cankova;Nestanovanjske stavbe;2007;3
