"OBÈINE";"TIP.STAVBE";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Gornja Radgona";"Stanovanjske stavbe";20;29;35;23;14;17;16;13;16;11;19;26;17;12
"Gornja Radgona";"Nestanovanjske stavbe";11;16;14;14;3;10;3;0;52;66;82;46;59;70
"Gornji Grad";"Stanovanjske stavbe";6;7;4;5;0;1;2;0;3;1;4;2;2;4
"Gornji Grad";"Nestanovanjske stavbe";1;1;0;1;2;1;0;0;4;9;0;6;13;12
"Gornji Petrovci";"Stanovanjske stavbe";6;10;1;4;4;6;2;3;4;4;4;7;1;7
"Gornji Petrovci";"Nestanovanjske stavbe";3;4;1;1;1;0;1;0;6;6;8;22;11;8
"Grad";"Stanovanjske stavbe";5;6;4;4;3;2;10;7;2;4;5;4;3;3
"Grad";"Nestanovanjske stavbe";3;2;2;2;1;2;3;2;3;3;8;7;5;6
"Grosuplje";"Stanovanjske stavbe";57;68;49;41;29;19;39;30;25;22;36;32;33;40
"Grosuplje";"Nestanovanjske stavbe";7;10;11;7;14;11;16;5;4;37;46;32;13;23
"Hajdina";"Stanovanjske stavbe";3;6;5;6;5;4;3;6;7;12;8;4;13;16
"Hajdina";"Nestanovanjske stavbe";3;2;0;1;0;1;1;1;1;6;2;4;7;6
"Hoèe - Slivnica";"Stanovanjske stavbe";86;58;30;53;39;38;17;12;25;24;32;56;21;32
"Hoèe - Slivnica";"Nestanovanjske stavbe";19;13;2;3;5;5;6;5;4;27;38;35;26;29
"Hodoš/Hodos";"Stanovanjske stavbe";0;2;0;1;0;0;0;1;0;0;0;0;0;0
"Hodoš/Hodos";"Nestanovanjske stavbe";0;0;1;0;0;0;0;0;1;2;0;1;0;0
"Horjul";"Stanovanjske stavbe";1;3;4;2;0;3;1;6;5;2;4;9;11;2
"Horjul";"Nestanovanjske stavbe";0;0;0;0;1;0;1;1;0;3;5;6;6;3
"Hrastnik";"Stanovanjske stavbe";9;8;7;5;12;2;3;5;8;4;7;7;2;6
"Hrastnik";"Nestanovanjske stavbe";0;1;1;3;3;2;8;1;5;7;2;6;9;3
"Hrpelje - Kozina";"Stanovanjske stavbe";30;21;17;12;3;6;13;1;6;14;9;11;12;31
"Hrpelje - Kozina";"Nestanovanjske stavbe";10;2;2;4;0;1;2;0;2;8;11;9;2;10
"Idrija";"Stanovanjske stavbe";13;24;9;9;14;18;10;14;21;11;14;13;17;6
"Idrija";"Nestanovanjske stavbe";12;10;8;4;3;6;9;9;10;28;26;11;31;21
"Ig";"Stanovanjske stavbe";25;12;27;6;5;12;18;14;16;21;21;21;11;14
"Ig";"Nestanovanjske stavbe";2;2;3;0;2;1;1;1;2;13;7;7;5;10
"Ilirska Bistrica";"Stanovanjske stavbe";25;15;23;22;11;19;12;11;27;9;6;11;2;6
"Ilirska Bistrica";"Nestanovanjske stavbe";6;9;18;7;5;6;3;11;44;46;33;27;14;22
"Ivanèna Gorica";"Stanovanjske stavbe";97;80;62;48;39;40;42;52;35;22;29;44;30;41
"Ivanèna Gorica";"Nestanovanjske stavbe";8;11;7;22;6;13;13;15;12;63;66;63;42;48
"Izola/Isola";"Stanovanjske stavbe";19;17;21;10;14;9;5;5;16;8;13;8;13;6
"Izola/Isola";"Nestanovanjske stavbe";7;3;0;3;4;1;0;1;0;3;3;0;0;0
"Jesenice";"Stanovanjske stavbe";28;19;20;13;9;8;8;12;6;7;9;7;8;7
"Jesenice";"Nestanovanjske stavbe";7;5;5;7;2;4;5;4;8;8;14;14;0;2
"Jezersko";"Stanovanjske stavbe";1;0;2;1;0;1;2;1;1;1;2;2;2;0
"Jezersko";"Nestanovanjske stavbe";0;1;0;0;1;0;0;1;1;1;0;1;0;0
"Juršinci";"Stanovanjske stavbe";7;6;3;1;2;1;9;6;9;9;5;5;5;2
"Juršinci";"Nestanovanjske stavbe";0;1;1;0;0;0;0;0;3;7;0;2;3;1
"Kamnik";"Stanovanjske stavbe";39;37;79;55;32;27;31;31;32;42;42;31;34;33
"Kamnik";"Nestanovanjske stavbe";8;12;11;13;9;17;7;4;7;28;30;11;13;15
"Kanal";"Stanovanjske stavbe";11;4;8;7;3;3;5;7;4;6;3;2;5;0
"Kanal";"Nestanovanjske stavbe";1;2;1;1;1;1;0;1;18;16;10;16;5;1
"Kidrièevo";"Stanovanjske stavbe";7;13;8;2;2;2;8;1;7;19;12;15;13;16
"Kidrièevo";"Nestanovanjske stavbe";7;1;0;3;3;3;2;1;4;36;33;18;20;12
"Kobarid";"Stanovanjske stavbe";9;13;11;11;8;15;13;4;5;2;6;5;4;2
"Kobarid";"Nestanovanjske stavbe";4;1;4;10;8;6;8;1;15;19;9;14;6;10
"Kobilje";"Stanovanjske stavbe";0;0;0;2;1;1;5;1;1;1;0;2;2;1
"Kobilje";"Nestanovanjske stavbe";2;0;0;3;2;1;0;0;1;1;6;0;1;4
"Koèevje";"Stanovanjske stavbe";31;25;20;8;19;21;13;15;6;19;15;7;12;17
"Koèevje";"Nestanovanjske stavbe";10;6;3;6;9;7;5;9;39;34;41;40;42;30
"Komen";"Stanovanjske stavbe";12;13;11;3;5;6;5;1;1;5;5;2;4;9
"Komen";"Nestanovanjske stavbe";2;3;1;0;0;3;1;0;0;8;13;4;2;7
"Komenda";"Stanovanjske stavbe";50;80;13;27;11;12;24;10;9;11;6;10;9;25
"Komenda";"Nestanovanjske stavbe";8;4;6;12;7;13;12;5;6;14;27;17;20;6
"Koper/Capodistria";"Stanovanjske stavbe";137;113;110;58;61;25;47;35;45;31;47;45;45;36
"Koper/Capodistria";"Nestanovanjske stavbe";8;17;8;15;8;2;7;8;6;26;14;12;5;5
"Kostanjevica na Krki";"Stanovanjske stavbe";5;7;11;5;5;4;3;4;6;2;10;1;4;1
"Kostanjevica na Krki";"Nestanovanjske stavbe";3;2;3;2;6;9;1;2;17;8;3;6;7;6
"Kostel";"Stanovanjske stavbe";4;5;3;2;8;2;1;0;1;2;0;1;1;1
"Kostel";"Nestanovanjske stavbe";1;1;2;0;1;1;0;0;6;2;4;3;1;3
"Kozje";"Stanovanjske stavbe";12;15;9;14;6;5;10;6;2;0;4;1;4;4
"Kozje";"Nestanovanjske stavbe";3;1;3;3;6;2;10;1;15;14;17;9;14;13
"Kranj";"Stanovanjske stavbe";91;75;116;39;25;33;31;26;32;44;27;50;49;54
"Kranj";"Nestanovanjske stavbe";20;12;14;9;9;9;10;6;6;15;7;10;4;15
"Kranjska Gora";"Stanovanjske stavbe";23;38;13;10;5;13;4;10;11;4;8;12;10;10
"Kranjska Gora";"Nestanovanjske stavbe";18;14;7;2;3;2;0;2;3;4;9;14;6;2
"Križevci";"Stanovanjske stavbe";6;12;5;9;6;2;4;6;4;6;7;12;7;8
"Križevci";"Nestanovanjske stavbe";4;1;3;2;2;4;3;0;15;21;33;18;16;30
"Krško";"Stanovanjske stavbe";39;62;38;38;38;20;33;46;49;42;40;33;25;22
"Krško";"Nestanovanjske stavbe";38;37;40;24;34;13;14;9;193;75;59;56;48;15
"Kungota";"Stanovanjske stavbe";22;40;19;40;21;11;9;4;4;6;9;12;18;10
"Kungota";"Nestanovanjske stavbe";6;8;4;5;3;3;2;4;4;3;2;2;2;6
"Kuzma";"Stanovanjske stavbe";2;5;5;3;4;6;6;5;7;8;2;8;1;2
"Kuzma";"Nestanovanjske stavbe";4;1;3;0;1;2;1;1;4;2;0;3;4;8
"Laško";"Stanovanjske stavbe";13;18;12;22;13;18;33;12;8;16;7;12;6;5
"Laško";"Nestanovanjske stavbe";14;11;6;9;6;5;8;2;6;73;50;63;25;26
"Lenart";"Stanovanjske stavbe";23;23;16;31;12;24;21;20;11;13;17;14;20;19
"Lenart";"Nestanovanjske stavbe";15;7;9;17;5;11;14;10;15;40;41;50;42;65
"Lendava/Lendva";"Stanovanjske stavbe";21;14;28;21;13;13;23;11;10;12;8;9;6;11
"Lendava/Lendva";"Nestanovanjske stavbe";15;17;18;14;14;10;7;6;51;52;51;56;43;42
"Litija";"Stanovanjske stavbe";54;39;65;36;37;26;38;15;22;20;19;24;7;21
"Litija";"Nestanovanjske stavbe";7;3;10;11;10;6;10;7;20;30;19;24;16;10
"Ljubljana";"Stanovanjske stavbe";205;149;147;90;95;105;139;114;75;137;161;193;168;163
"Ljubljana";"Nestanovanjske stavbe";32;27;21;21;22;22;19;20;15;68;67;42;62;63
"Ljubno";"Stanovanjske stavbe";4;5;0;5;3;4;3;3;3;2;10;4;2;1
"Ljubno";"Nestanovanjske stavbe";0;3;0;3;1;3;4;2;5;11;16;6;5;12
"Ljutomer";"Stanovanjske stavbe";25;27;11;18;20;14;15;14;19;11;12;12;13;17
"Ljutomer";"Nestanovanjske stavbe";12;14;9;6;6;6;7;8;35;61;50;31;52;55
"Log - Dragomer";"Stanovanjske stavbe";7;11;3;5;3;1;5;7;12;4;6;7;3;7
"Log - Dragomer";"Nestanovanjske stavbe";2;3;2;3;0;0;2;3;4;2;0;7;2;1
"Logatec";"Stanovanjske stavbe";45;49;42;32;38;38;29;19;20;8;25;35;27;40
"Logatec";"Nestanovanjske stavbe";27;25;13;10;9;9;16;3;9;11;18;11;14;17
"Loška dolina";"Stanovanjske stavbe";6;1;4;12;1;7;3;4;5;5;3;5;1;1
"Loška dolina";"Nestanovanjske stavbe";3;5;2;0;1;0;3;3;2;13;11;23;5;5
"Loški Potok";"Stanovanjske stavbe";7;4;3;4;5;8;3;2;1;2;2;1;3;2
"Loški Potok";"Nestanovanjske stavbe";0;1;1;2;5;0;2;0;8;11;9;8;10;11
"Lovrenc na Pohorju";"Stanovanjske stavbe";5;7;8;6;1;9;5;7;3;4;1;2;1;0
"Lovrenc na Pohorju";"Nestanovanjske stavbe";0;1;1;3;0;7;0;2;0;5;3;2;5;3
"Luèe";"Stanovanjske stavbe";2;1;1;1;1;2;2;4;5;1;2;5;2;2
"Luèe";"Nestanovanjske stavbe";0;1;1;5;1;0;0;0;1;7;9;8;2;4
"Lukovica";"Stanovanjske stavbe";11;5;4;8;8;8;8;13;8;18;13;14;17;7
"Lukovica";"Nestanovanjske stavbe";4;0;1;1;0;0;1;1;0;2;0;2;14;5
"Majšperk";"Stanovanjske stavbe";9;5;3;1;4;1;5;13;13;5;12;6;5;6
"Majšperk";"Nestanovanjske stavbe";2;1;1;1;4;1;0;1;5;9;6;3;4;1
"Makole";"Stanovanjske stavbe";3;6;6;3;9;3;5;8;4;2;0;4;4;4
"Makole";"Nestanovanjske stavbe";4;1;0;2;3;1;3;1;8;7;8;14;11;15
"Maribor";"Stanovanjske stavbe";164;115;77;62;50;54;56;87;59;92;105;96;106;125
"Maribor";"Nestanovanjske stavbe";52;31;21;23;22;19;20;28;23;64;58;62;77;59
"Markovci";"Stanovanjske stavbe";4;5;8;2;5;1;8;9;4;4;8;11;10;8
"Markovci";"Nestanovanjske stavbe";2;1;1;0;6;0;3;7;0;9;12;17;21;14
"Medvode";"Stanovanjske stavbe";66;71;48;34;30;22;27;25;17;28;25;11;24;11
"Medvode";"Nestanovanjske stavbe";11;12;2;1;2;1;2;5;2;10;14;5;4;25
"Mengeš";"Stanovanjske stavbe";8;8;4;0;6;9;8;22;18;12;15;14;12;10
"Mengeš";"Nestanovanjske stavbe";2;0;3;1;0;0;1;0;0;3;4;9;13;11
"Metlika";"Stanovanjske stavbe";8;23;15;12;11;18;15;12;7;2;7;10;13;9
"Metlika";"Nestanovanjske stavbe";13;10;9;16;17;13;16;5;27;33;28;34;25;39
"Mežica";"Stanovanjske stavbe";0;0;1;2;1;0;1;1;2;6;3;3;0;1
"Mežica";"Nestanovanjske stavbe";3;1;1;0;0;3;2;3;2;0;2;3;3;0
"Miklavž na Dravskem polju";"Stanovanjske stavbe";31;30;17;33;29;6;9;11;7;15;10;20;21;35
"Miklavž na Dravskem polju";"Nestanovanjske stavbe";2;2;2;2;2;2;4;0;3;4;12;6;9;21
"Miren - Kostanjevica";"Stanovanjske stavbe";29;14;22;12;6;6;7;15;9;8;4;4;14;10
"Miren - Kostanjevica";"Nestanovanjske stavbe";0;0;2;3;3;0;1;1;17;19;15;10;8;5
"Mirna";"Stanovanjske stavbe";NA;NA;NA;NA;NA;4;6;7;14;3;3;8;4;5
"Mirna";"Nestanovanjske stavbe";NA;NA;NA;NA;NA;3;4;4;2;7;9;14;21;10
"Mirna Peè";"Stanovanjske stavbe";3;3;1;8;1;8;4;6;8;9;5;12;8;8
"Mirna Peè";"Nestanovanjske stavbe";0;5;2;4;1;4;4;0;15;15;9;25;27;20
"Mislinja";"Stanovanjske stavbe";7;32;6;6;6;8;1;4;3;4;4;10;5;2
"Mislinja";"Nestanovanjske stavbe";2;1;3;2;3;4;1;2;8;10;9;11;5;9
"Mokronog - Trebelno";"Stanovanjske stavbe";5;10;11;7;5;6;6;20;15;8;11;3;7;8
"Mokronog - Trebelno";"Nestanovanjske stavbe";8;11;10;7;7;6;11;10;8;5;13;23;23;26
"Moravèe";"Stanovanjske stavbe";20;6;12;11;8;5;5;4;13;9;9;13;9;3
"Moravèe";"Nestanovanjske stavbe";0;3;1;2;0;1;0;0;0;4;2;4;9;9
"Moravske Toplice";"Stanovanjske stavbe";26;13;11;14;14;5;9;9;10;22;25;16;21;15
"Moravske Toplice";"Nestanovanjske stavbe";5;9;6;7;4;7;3;3;20;18;38;39;27;29
"Mozirje";"Stanovanjske stavbe";6;13;5;8;4;15;7;11;3;12;5;12;7;16
"Mozirje";"Nestanovanjske stavbe";2;0;3;0;1;0;0;0;14;14;16;19;13;27
"Murska Sobota";"Stanovanjske stavbe";22;30;32;20;16;5;5;11;27;24;20;17;20;20
