"OBÈINE";"TIP.STAVBE";"Leto";"Število.gradbenih.dovoljenj"
"Bovec";"Stanovanjske stavbe";"2011";4
"Bovec";"Stanovanjske stavbe";"2012";4
"Bovec";"Stanovanjske stavbe";"2013";11
"Bovec";"Stanovanjske stavbe";"2014";2
"Bovec";"Stanovanjske stavbe";"2015";6
"Bovec";"Stanovanjske stavbe";"2016";4
"Bovec";"Stanovanjske stavbe";"2017";3
"Bovec";"Stanovanjske stavbe";"2018";5
"Bovec";"Stanovanjske stavbe";"2019";4
"Bovec";"Stanovanjske stavbe";"2020";7
"Bovec";"Nestanovanjske stavbe";"2007";9
"Bovec";"Nestanovanjske stavbe";"2008";2
"Bovec";"Nestanovanjske stavbe";"2009";8
"Bovec";"Nestanovanjske stavbe";"2010";2
"Bovec";"Nestanovanjske stavbe";"2011";7
"Bovec";"Nestanovanjske stavbe";"2012";4
"Bovec";"Nestanovanjske stavbe";"2013";1
"Bovec";"Nestanovanjske stavbe";"2014";8
"Bovec";"Nestanovanjske stavbe";"2015";14
"Bovec";"Nestanovanjske stavbe";"2016";12
"Bovec";"Nestanovanjske stavbe";"2017";6
"Bovec";"Nestanovanjske stavbe";"2018";4
"Bovec";"Nestanovanjske stavbe";"2019";7
"Bovec";"Nestanovanjske stavbe";"2020";10
"Braslovèe";"Stanovanjske stavbe";"2007";24
"Braslovèe";"Stanovanjske stavbe";"2008";13
"Braslovèe";"Stanovanjske stavbe";"2009";15
"Braslovèe";"Stanovanjske stavbe";"2010";18
"Braslovèe";"Stanovanjske stavbe";"2011";19
"Braslovèe";"Stanovanjske stavbe";"2012";12
"Braslovèe";"Stanovanjske stavbe";"2013";14
"Braslovèe";"Stanovanjske stavbe";"2014";5
"Braslovèe";"Stanovanjske stavbe";"2015";16
"Braslovèe";"Stanovanjske stavbe";"2016";18
"Braslovèe";"Stanovanjske stavbe";"2017";19
"Braslovèe";"Stanovanjske stavbe";"2018";22
"Braslovèe";"Stanovanjske stavbe";"2019";10
"Braslovèe";"Stanovanjske stavbe";"2020";17
"Braslovèe";"Nestanovanjske stavbe";"2007";2
"Braslovèe";"Nestanovanjske stavbe";"2008";0
"Braslovèe";"Nestanovanjske stavbe";"2009";2
"Braslovèe";"Nestanovanjske stavbe";"2010";2
"Braslovèe";"Nestanovanjske stavbe";"2011";4
"Braslovèe";"Nestanovanjske stavbe";"2012";0
"Braslovèe";"Nestanovanjske stavbe";"2013";8
"Braslovèe";"Nestanovanjske stavbe";"2014";2
"Braslovèe";"Nestanovanjske stavbe";"2015";4
"Braslovèe";"Nestanovanjske stavbe";"2016";3
"Braslovèe";"Nestanovanjske stavbe";"2017";5
"Braslovèe";"Nestanovanjske stavbe";"2018";4
"Braslovèe";"Nestanovanjske stavbe";"2019";20
"Braslovèe";"Nestanovanjske stavbe";"2020";18
"Brda";"Stanovanjske stavbe";"2007";23
"Brda";"Stanovanjske stavbe";"2008";16
"Brda";"Stanovanjske stavbe";"2009";12
"Brda";"Stanovanjske stavbe";"2010";10
"Brda";"Stanovanjske stavbe";"2011";7
"Brda";"Stanovanjske stavbe";"2012";13
"Brda";"Stanovanjske stavbe";"2013";10
"Brda";"Stanovanjske stavbe";"2014";7
"Brda";"Stanovanjske stavbe";"2015";10
"Brda";"Stanovanjske stavbe";"2016";10
"Brda";"Stanovanjske stavbe";"2017";11
"Brda";"Stanovanjske stavbe";"2018";22
"Brda";"Stanovanjske stavbe";"2019";8
"Brda";"Stanovanjske stavbe";"2020";8
"Brda";"Nestanovanjske stavbe";"2007";9
"Brda";"Nestanovanjske stavbe";"2008";11
"Brda";"Nestanovanjske stavbe";"2009";8
"Brda";"Nestanovanjske stavbe";"2010";10
"Brda";"Nestanovanjske stavbe";"2011";9
"Brda";"Nestanovanjske stavbe";"2012";7
"Brda";"Nestanovanjske stavbe";"2013";4
"Brda";"Nestanovanjske stavbe";"2014";3
"Brda";"Nestanovanjske stavbe";"2015";15
"Brda";"Nestanovanjske stavbe";"2016";10
"Brda";"Nestanovanjske stavbe";"2017";9
"Brda";"Nestanovanjske stavbe";"2018";20
"Brda";"Nestanovanjske stavbe";"2019";21
"Brda";"Nestanovanjske stavbe";"2020";3
"Brezovica";"Stanovanjske stavbe";"2007";36
"Brezovica";"Stanovanjske stavbe";"2008";31
"Brezovica";"Stanovanjske stavbe";"2009";31
"Brezovica";"Stanovanjske stavbe";"2010";22
"Brezovica";"Stanovanjske stavbe";"2011";8
"Brezovica";"Stanovanjske stavbe";"2012";26
"Brezovica";"Stanovanjske stavbe";"2013";20
"Brezovica";"Stanovanjske stavbe";"2014";9
"Brezovica";"Stanovanjske stavbe";"2015";10
"Brezovica";"Stanovanjske stavbe";"2016";29
"Brezovica";"Stanovanjske stavbe";"2017";29
"Brezovica";"Stanovanjske stavbe";"2018";23
"Brezovica";"Stanovanjske stavbe";"2019";12
"Brezovica";"Stanovanjske stavbe";"2020";14
"Brezovica";"Nestanovanjske stavbe";"2007";4
"Brezovica";"Nestanovanjske stavbe";"2008";4
"Brezovica";"Nestanovanjske stavbe";"2009";5
"Brezovica";"Nestanovanjske stavbe";"2010";0
"Brezovica";"Nestanovanjske stavbe";"2011";1
"Brezovica";"Nestanovanjske stavbe";"2012";3
"Brezovica";"Nestanovanjske stavbe";"2013";0
"Brezovica";"Nestanovanjske stavbe";"2014";3
"Brezovica";"Nestanovanjske stavbe";"2015";2
"Brezovica";"Nestanovanjske stavbe";"2016";5
"Brezovica";"Nestanovanjske stavbe";"2017";5
"Brezovica";"Nestanovanjske stavbe";"2018";8
"Brezovica";"Nestanovanjske stavbe";"2019";5
"Brezovica";"Nestanovanjske stavbe";"2020";2
"Brežice";"Stanovanjske stavbe";"2007";51
"Brežice";"Stanovanjske stavbe";"2008";60
"Brežice";"Stanovanjske stavbe";"2009";74
"Brežice";"Stanovanjske stavbe";"2010";50
"Brežice";"Stanovanjske stavbe";"2011";18
"Brežice";"Stanovanjske stavbe";"2012";28
"Brežice";"Stanovanjske stavbe";"2013";23
"Brežice";"Stanovanjske stavbe";"2014";34
"Brežice";"Stanovanjske stavbe";"2015";24
"Brežice";"Stanovanjske stavbe";"2016";43
"Brežice";"Stanovanjske stavbe";"2017";39
"Brežice";"Stanovanjske stavbe";"2018";35
"Brežice";"Stanovanjske stavbe";"2019";38
"Brežice";"Stanovanjske stavbe";"2020";48
"Brežice";"Nestanovanjske stavbe";"2007";33
"Brežice";"Nestanovanjske stavbe";"2008";42
"Brežice";"Nestanovanjske stavbe";"2009";35
