"OBÈINA_TIP";"Leto";"Število.gradbenih.dovoljenj"
"Bistrica ob Sotli_Nestanovanjske stavbe";"2015";5
"Bistrica ob Sotli_Nestanovanjske stavbe";"2016";2
"Bistrica ob Sotli_Nestanovanjske stavbe";"2017";10
"Bistrica ob Sotli_Nestanovanjske stavbe";"2018";2
"Bistrica ob Sotli_Nestanovanjske stavbe";"2019";4
"Bistrica ob Sotli_Nestanovanjske stavbe";"2020";4
"Bled_Stanovanjske stavbe";"2007";21
"Bled_Stanovanjske stavbe";"2008";2
"Bled_Stanovanjske stavbe";"2009";9
"Bled_Stanovanjske stavbe";"2010";4
"Bled_Stanovanjske stavbe";"2011";13
"Bled_Stanovanjske stavbe";"2012";14
"Bled_Stanovanjske stavbe";"2013";13
"Bled_Stanovanjske stavbe";"2014";6
"Bled_Stanovanjske stavbe";"2015";12
"Bled_Stanovanjske stavbe";"2016";10
"Bled_Stanovanjske stavbe";"2017";8
"Bled_Stanovanjske stavbe";"2018";18
"Bled_Stanovanjske stavbe";"2019";11
"Bled_Stanovanjske stavbe";"2020";10
"Bled_Nestanovanjske stavbe";"2007";6
"Bled_Nestanovanjske stavbe";"2008";7
"Bled_Nestanovanjske stavbe";"2009";1
"Bled_Nestanovanjske stavbe";"2010";2
"Bled_Nestanovanjske stavbe";"2011";2
"Bled_Nestanovanjske stavbe";"2012";0
"Bled_Nestanovanjske stavbe";"2013";1
"Bled_Nestanovanjske stavbe";"2014";0
"Bled_Nestanovanjske stavbe";"2015";3
"Bled_Nestanovanjske stavbe";"2016";8
"Bled_Nestanovanjske stavbe";"2017";2
"Bled_Nestanovanjske stavbe";"2018";15
"Bled_Nestanovanjske stavbe";"2019";6
"Bled_Nestanovanjske stavbe";"2020";4
"Bloke_Stanovanjske stavbe";"2007";6
"Bloke_Stanovanjske stavbe";"2008";7
"Bloke_Stanovanjske stavbe";"2009";8
"Bloke_Stanovanjske stavbe";"2010";5
"Bloke_Stanovanjske stavbe";"2011";1
"Bloke_Stanovanjske stavbe";"2012";3
"Bloke_Stanovanjske stavbe";"2013";4
"Bloke_Stanovanjske stavbe";"2014";2
"Bloke_Stanovanjske stavbe";"2015";0
"Bloke_Stanovanjske stavbe";"2016";3
"Bloke_Stanovanjske stavbe";"2017";1
"Bloke_Stanovanjske stavbe";"2018";7
"Bloke_Stanovanjske stavbe";"2019";3
"Bloke_Stanovanjske stavbe";"2020";1
"Bloke_Nestanovanjske stavbe";"2007";8
"Bloke_Nestanovanjske stavbe";"2008";1
"Bloke_Nestanovanjske stavbe";"2009";0
"Bloke_Nestanovanjske stavbe";"2010";1
"Bloke_Nestanovanjske stavbe";"2011";1
"Bloke_Nestanovanjske stavbe";"2012";1
"Bloke_Nestanovanjske stavbe";"2013";0
"Bloke_Nestanovanjske stavbe";"2014";2
"Bloke_Nestanovanjske stavbe";"2015";0
"Bloke_Nestanovanjske stavbe";"2016";6
"Bloke_Nestanovanjske stavbe";"2017";12
"Bloke_Nestanovanjske stavbe";"2018";3
"Bloke_Nestanovanjske stavbe";"2019";9
"Bloke_Nestanovanjske stavbe";"2020";0
"Bohinj_Stanovanjske stavbe";"2007";13
"Bohinj_Stanovanjske stavbe";"2008";6
"Bohinj_Stanovanjske stavbe";"2009";7
"Bohinj_Stanovanjske stavbe";"2010";12
"Bohinj_Stanovanjske stavbe";"2011";10
"Bohinj_Stanovanjske stavbe";"2012";5
"Bohinj_Stanovanjske stavbe";"2013";9
"Bohinj_Stanovanjske stavbe";"2014";5
"Bohinj_Stanovanjske stavbe";"2015";9
"Bohinj_Stanovanjske stavbe";"2016";7
"Bohinj_Stanovanjske stavbe";"2017";11
"Bohinj_Stanovanjske stavbe";"2018";15
"Bohinj_Stanovanjske stavbe";"2019";4
"Bohinj_Stanovanjske stavbe";"2020";9
"Bohinj_Nestanovanjske stavbe";"2007";3
"Bohinj_Nestanovanjske stavbe";"2008";12
"Bohinj_Nestanovanjske stavbe";"2009";2
"Bohinj_Nestanovanjske stavbe";"2010";4
"Bohinj_Nestanovanjske stavbe";"2011";6
"Bohinj_Nestanovanjske stavbe";"2012";6
"Bohinj_Nestanovanjske stavbe";"2013";3
"Bohinj_Nestanovanjske stavbe";"2014";1
"Bohinj_Nestanovanjske stavbe";"2015";6
"Bohinj_Nestanovanjske stavbe";"2016";11
"Bohinj_Nestanovanjske stavbe";"2017";17
"Bohinj_Nestanovanjske stavbe";"2018";20
"Bohinj_Nestanovanjske stavbe";"2019";12
"Bohinj_Nestanovanjske stavbe";"2020";5
"Borovnica_Stanovanjske stavbe";"2007";9
"Borovnica_Stanovanjske stavbe";"2008";10
"Borovnica_Stanovanjske stavbe";"2009";22
"Borovnica_Stanovanjske stavbe";"2010";3
"Borovnica_Stanovanjske stavbe";"2011";11
"Borovnica_Stanovanjske stavbe";"2012";7
"Borovnica_Stanovanjske stavbe";"2013";7
"Borovnica_Stanovanjske stavbe";"2014";6
"Borovnica_Stanovanjske stavbe";"2015";2
"Borovnica_Stanovanjske stavbe";"2016";6
"Borovnica_Stanovanjske stavbe";"2017";6
"Borovnica_Stanovanjske stavbe";"2018";0
"Borovnica_Stanovanjske stavbe";"2019";2
"Borovnica_Stanovanjske stavbe";"2020";5
"Borovnica_Nestanovanjske stavbe";"2007";1
"Borovnica_Nestanovanjske stavbe";"2008";1
"Borovnica_Nestanovanjske stavbe";"2009";1
"Borovnica_Nestanovanjske stavbe";"2010";0
"Borovnica_Nestanovanjske stavbe";"2011";0
"Borovnica_Nestanovanjske stavbe";"2012";0
"Borovnica_Nestanovanjske stavbe";"2013";2
"Borovnica_Nestanovanjske stavbe";"2014";1
"Borovnica_Nestanovanjske stavbe";"2015";0
"Borovnica_Nestanovanjske stavbe";"2016";4
"Borovnica_Nestanovanjske stavbe";"2017";1
"Borovnica_Nestanovanjske stavbe";"2018";0
"Borovnica_Nestanovanjske stavbe";"2019";3
"Borovnica_Nestanovanjske stavbe";"2020";3
"Bovec_Stanovanjske stavbe";"2007";11
"Bovec_Stanovanjske stavbe";"2008";8
"Bovec_Stanovanjske stavbe";"2009";8
